#{"t_start": 1706187320.441495, "env_id": null}
r,l,t
2.0,50,4.998062
0.0,50,6.436681
2.0,4,6.511201
2.0,50,8.460293
1.0,50,9.638161
0.0,50,10.903774
1.0,50,11.508232
0.0,50,14.173802
0.0,50,15.641127
1.0,50,18.972443
0.0,50,19.966291
0.0,50,21.907392
1.0,50,23.587095
0.0,50,25.28628
0.0,50,27.07455
1.0,50,28.081783
0.0,50,30.161583
1.0,50,32.656985
0.0,50,34.67012
0.0,50,37.097132
0.0,50,40.929238
1.0,50,45.076873
1.0,4,45.157705
1.0,50,47.395949
2.0,50,49.691448
2.0,50,51.467134
0.0,50,52.933748
1.0,50,53.685203
1.0,50,57.000679
1.0,50,58.839925
0.0,50,61.393683
1.0,1,61.409218
0.0,50,62.475514
0.0,50,63.764965
1.0,50,67.64228
2.0,50,70.101365
2.0,50,73.580613
1.0,7,73.714978
2.0,50,76.245529
0.0,50,79.901428
0.0,50,81.82895
2.0,50,83.451448
0.0,50,85.549377
0.0,50,88.439646
0.0,50,151.552483
0.0,50,153.086833
1.0,50,153.720588
0.0,50,154.597105
0.0,50,156.408503
2.0,3,156.461231
2.0,24,158.997851
0.0,50,161.34792
0.0,50,164.230051
2.0,29,164.376962
0.0,50,165.297235
0.0,50,169.5438
1.0,50,170.73859
2.0,50,173.166183
0.0,50,174.906028
2.0,32,175.867722
2.0,50,178.927643
0.0,50,179.895246
0.0,50,181.664403
3.0,50,182.417005
0.0,50,186.836341
2.0,6,187.05144
0.0,50,189.703267
0.0,50,190.639269
1.0,2,190.652005
1.0,1,190.658536
0.0,50,192.400384
2.0,5,192.627378
0.0,50,194.901672
1.0,50,196.650157
0.0,50,199.522328
0.0,50,201.869479
3.0,50,203.485405
0.0,50,207.222282
0.0,50,208.091363
2.0,3,208.211844
1.0,50,210.624712
1.0,3,210.659354
1.0,50,215.640638
1.0,50,217.107596
3.0,50,218.249861
0.0,50,220.140135
2.0,9,220.256642
3.0,30,223.476761
0.0,50,227.842231
0.0,50,229.863054
1.0,50,231.729789
0.0,50,232.991091
0.0,50,234.163797
0.0,50,236.747316
3.0,50,298.50159
2.0,4,298.572506
0.0,50,303.990702
0.0,50,308.10579
0.0,50,311.835507
0.0,50,314.247763
2.0,50,317.829433
1.0,50,320.459751
0.0,50,323.160553
0.0,50,324.734843
0.0,50,325.470297
1.0,50,328.402546
1.0,50,331.727648
1.0,50,336.589459
2.0,50,338.969745
2.0,50,343.908173
0.0,50,346.426224
1.0,50,349.890746
2.0,50,350.581167
0.0,50,352.85776
1.0,1,352.869618
0.0,50,357.672942
1.0,50,359.420547
0.0,50,361.546812
1.0,50,363.101912
1.0,50,364.781395
0.0,50,367.200975
0.0,50,368.706655
2.0,50,370.602023
0.0,50,371.625053
0.0,50,373.653102
2.0,50,375.715893
0.0,50,377.16937
0.0,50,378.291785
0.0,50,380.510427
0.0,50,381.380546
