rollout/ep_len_mean,time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/iterations,train/learning_rate,train/value_loss,train/is_line_search_success,train/n_updates,train/kl_divergence_loss,train/policy_objective,train/explained_variance
45.81818181818182,23,88,2048,0.75,1,,,,,,,
43.223404255319146,17,237,4096,0.7978723404255319,2,0.001,16.366706985235215,1.0,1,0.006030825898051262,0.009093279018998146,-2.2069859504699707
43.6,15,398,6144,0.79,3,0.001,2.639862132072449,1.0,2,0.0048708561807870865,0.0006117867305874825,-1.988755702972412
46.51,14,553,8192,0.82,4,0.001,0.524615449924022,1.0,3,0.00836608000099659,0.0029880297370254993,-2.0343568325042725
46.35,14,707,10240,0.78,5,0.001,0.16715568744111806,1.0,4,0.00946456752717495,0.013393383473157883,-1.2008492946624756
45.15,13,880,12288,0.63,6,0.001,0.12763008505571632,1.0,5,0.005649271421134472,0.0073884958401322365,-0.502653956413269
45.47,13,1036,14336,0.51,7,0.001,0.025290876324288548,1.0,6,0.006299503147602081,0.009378625079989433,-0.18285107612609863
45.23,13,1200,16384,0.62,8,0.001,0.0598501053522341,1.0,7,0.0070211393758654594,0.0063375369645655155,0.05015981197357178
44.18,13,1360,18432,0.71,9,0.001,0.04057279931148514,1.0,8,0.0052543641068041325,0.004678812809288502,0.19581252336502075
42.7,13,1513,20480,0.8,10,0.001,0.06417733371490612,1.0,9,0.006956563331186771,0.007998358458280563,0.05718982219696045
43.08,13,1691,22528,0.88,11,0.001,0.07115117819048464,1.0,10,0.0009239022037945688,0.0004960889928042889,0.10428309440612793
43.46,13,1838,24576,0.82,12,0.001,0.04658477196935564,1.0,11,0.0043151723220944405,0.002889895811676979,0.054172396659851074
43.21,13,1990,26624,0.76,13,0.001,0.0589568346447777,1.0,12,0.002066794317215681,0.00033938465639948845,0.10624009370803833
45.08,13,2141,28672,0.87,14,0.001,0.04374381772358902,1.0,13,0.008441219106316566,0.0013725776225328445,0.17626017332077026
41.58,13,2284,30720,0.99,15,0.001,0.07708048349013552,1.0,14,0.005521668121218681,0.004227302968502045,0.07111555337905884
40.72,13,2421,32768,0.9,16,0.001,0.06698745157336816,1.0,15,0.00916858296841383,0.009141283109784126,0.12194103002548218
43.04,13,2552,34816,0.69,17,0.001,0.05552705629961565,1.0,16,0.007946236059069633,0.00846831314265728,0.1512492299079895
44.68,13,2683,36864,0.72,18,0.001,0.033239283418515696,1.0,17,0.006188702769577503,0.0028939282055944204,0.1126476526260376
44.61,13,2818,38912,0.85,19,0.001,0.06179553004913032,1.0,18,0.008133071474730968,0.006678013131022453,0.09230512380599976
43.19,13,2938,40960,0.83,20,0.001,0.04844131016288884,1.0,19,0.0094758290797472,0.007607799489051104,0.02861565351486206
42.21,14,3069,43008,0.92,21,0.001,0.06118500529555604,1.0,20,0.008563547395169735,0.00443886686116457,0.15316003561019897
41.35,14,3194,45056,1.01,22,0.001,0.0663243564311415,1.0,21,0.008149433881044388,0.006455876864492893,0.06716340780258179
42.48,14,3312,47104,0.98,23,0.001,0.08239896974992007,1.0,22,0.006244100630283356,0.004800256807357073,0.10220575332641602
41.92,14,3430,49152,0.89,24,0.001,0.06608813422499224,1.0,23,0.009260863065719604,0.009513871744275093,0.17636048793792725
43.31,14,3551,51200,0.81,25,0.001,0.06340029949788004,1.0,24,0.008728554472327232,0.0031700683757662773,0.11245161294937134
45.7,14,3686,53248,0.79,26,0.001,0.05826124370796606,1.0,25,0.005312336143106222,0.006244267337024212,0.07511836290359497
45.69,14,3806,55296,0.81,27,0.001,0.05386591634014622,1.0,26,0.007877113297581673,0.005003692582249641,0.13675743341445923
43.61,14,3923,57344,0.99,28,0.001,0.07364911578479223,1.0,27,0.008226831443607807,0.007568150293081999,0.10545152425765991
40.57,14,4038,59392,1.09,29,0.001,0.07372134434990585,1.0,28,0.0076192812994122505,0.008163565769791603,0.11754035949707031
40.46,14,4151,61440,0.96,30,0.001,0.07198346899822354,1.0,29,0.006884716916829348,0.007112595252692699,0.07718878984451294
43.05,14,4265,63488,0.94,31,0.001,0.06147232009097934,1.0,30,0.0059865363873541355,0.006037356797605753,0.11412680149078369
44.18,14,4377,65536,1.0,32,0.001,0.0706595413503237,1.0,31,0.00505412183701992,0.0035630688071250916,0.09818607568740845
43.64,15,4504,67584,1.0,33,0.001,0.06141356973676011,1.0,32,0.0008003709372133017,6.978493183851242e-05,0.07148092985153198
44.46,15,4620,69632,0.98,34,0.001,0.07717315051704646,1.0,33,0.005635892041027546,0.0020387964323163033,0.1488400101661682
43.48,15,4729,71680,1.03,35,0.001,0.06813545051263645,1.0,34,0.009007029235363007,0.004370564594864845,0.14020127058029175
40.02,15,4839,73728,0.94,36,0.001,0.06522097134729847,1.0,35,0.008243285119533539,0.007072104141116142,0.25258100032806396
38.06,15,4949,75776,1.15,37,0.001,0.061565161717589946,1.0,36,0.005503098014742136,0.002494320273399353,0.1067500114440918
37.61,15,5048,77824,1.25,38,0.001,0.09961539620999246,1.0,37,0.008479946292936802,0.00822039507329464,0.14835882186889648
39.14,15,5156,79872,1.0,39,0.001,0.08461647212971002,1.0,38,0.005679070018231869,0.006933391094207764,0.19872510433197021
40.06,15,5263,81920,1.1,40,0.001,0.08506562520051375,1.0,39,0.005710738245397806,0.003841545432806015,0.03733938932418823
41.62,15,5355,83968,1.24,41,0.001,0.09779456115793436,1.0,40,0.007605165243148804,0.00678227748721838,0.046667516231536865
41.21,15,5448,86016,1.24,42,0.001,0.08984153729397804,1.0,41,0.007667088881134987,0.006446219049394131,0.03671962022781372
39.65,15,5537,88064,1.14,43,0.001,0.08394321644445882,1.0,42,0.004279135260730982,0.000235837884247303,0.10505908727645874
39.02,16,5617,90112,1.19,44,0.001,0.061557938205078246,1.0,43,0.008678289130330086,0.004756953567266464,0.13991612195968628
38.5,16,5698,92160,1.36,45,0.001,0.0813059791456908,1.0,44,0.004685430321842432,0.001123327761888504,0.13168567419052124
38.94,16,5771,94208,1.29,46,0.001,0.10610601829830557,1.0,45,0.006580603774636984,0.0019429037347435951,0.16764122247695923
41.77,16,5844,96256,1.08,47,0.001,0.08472502122167498,1.0,46,0.0058581409975886345,0.018439365550875664,0.052262187004089355
41.36,16,5920,98304,1.0,48,0.001,0.05823566201142967,1.0,47,0.008327264338731766,0.0043848734349012375,0.07257014513015747
38.33,16,5996,100352,1.16,49,0.001,0.07037721229717135,1.0,48,0.006873956881463528,0.0014581074938178062,0.06942331790924072
40.56,16,6063,102400,1.13,50,0.001,0.08192302153911442,1.0,49,0.005402765702456236,0.002627064473927021,0.12024199962615967
42.98,17,6127,104448,1.02,51,0.001,0.07456731209531427,1.0,50,0.007006620056927204,0.006678703241050243,0.17046767473220825
44.19,17,6198,106496,0.96,52,0.001,0.055698493617819624,1.0,51,0.006238158792257309,0.006023922003805637,0.0833783745765686
41.27,17,6264,108544,0.94,53,0.001,0.05817684759385884,1.0,52,0.00514418538659811,0.004802814219146967,0.13831865787506104
38.89,17,6333,110592,0.88,54,0.001,0.04845872117439285,1.0,53,0.008201914839446545,0.01703537255525589,0.21233588457107544
39.85,17,6404,112640,0.95,55,0.001,0.05826269218232483,1.0,54,0.009949245490133762,0.014015762135386467,0.2859817147254944
39.61,17,6484,114688,1.02,56,0.001,0.06310584829188884,1.0,55,0.0011249472154304385,0.0009089764207601547,0.11074477434158325
38.7,17,6562,116736,1.18,57,0.001,0.06579373452113942,1.0,56,0.0065245246514678,0.010644365102052689,0.19597649574279785
40.19,17,6634,118784,1.18,58,0.001,0.08529366264119745,1.0,57,0.007102028466761112,0.017889920622110367,0.252713680267334
41.43,18,6709,120832,1.14,59,0.001,0.06346456054598093,1.0,58,0.007660024333745241,0.003570303786545992,0.13215899467468262
38.39,18,6783,122880,1.05,60,0.001,0.07432535748230293,1.0,59,0.005361315794289112,0.0017922483384609222,0.15827780961990356
39.24,18,6850,124928,1.02,61,0.001,0.06623718830524013,1.0,60,0.004852913320064545,0.001018012873828411,0.15839475393295288
40.62,18,6921,126976,1.16,62,0.001,0.07251677720341831,1.0,61,0.006861090660095215,0.008219221606850624,0.2274913787841797
41.41,18,6991,129024,1.21,63,0.001,0.08134231916628779,1.0,62,0.0027467026375234127,0.002185789868235588,0.20086413621902466
39.34,18,7061,131072,1.11,64,0.001,0.07081231467891484,1.0,63,0.005313687492161989,0.0008200015872716904,0.38408923149108887
38.98,18,7131,133120,0.99,65,0.001,0.07721258575329557,1.0,64,0.007327084429562092,0.004595314152538776,0.1784784197807312
43.35,18,7206,135168,0.9,66,0.001,0.060433367686346176,1.0,65,0.008428666740655899,0.007336873561143875,0.2162296175956726
